Model,Brand,Date of Sale,Sale Price (€),Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location,Car Age at Sale
Audi S5 (TFSI V6),Audi,2024-04-06,29308.0,2017,25462,Coupe,Automatic,Petrol,Blue Audi S53.0 TFSI V6 Tiptronic quattro (s/s) 2dr,Dublin,7
Audi Q7 (TFSI V6),Audi,2024-04-09,64229.0,2021,4986,SUV,Automatic,Petrol,"Black Audi Q755 TFSI QUATTRO S LINE BLACK EDITION 5dr 336 BHP Space, Power, Presence 3.01 previous owner",Clare,3
Audi A8 (SE Executive),Audi,2024-04-10,14658.0,2014,78205,Saloon,Automatic,Diesel,Red Audi A83.0 TDI V6 SE Executive Tiptronic quattro Euro 6 (s/s) 4dr5 previous owners,Dublin,10
Audi A8 (Executive SE),Audi,2024-04-10,8743.0,2010,146129,Saloon,Automatic,Diesel,Grey Audi A84.2 TDI V8 Executive SE Tiptronic quattro 4dr,Westmeath,14
Audi A5 (S line),Audi,2024-04-10,21975.0,2017,58334,Coupe,Automatic,Diesel,Black Audi A53.0 TDI V6 S line S Tronic quattro Euro 6 (s/s) 2dr2 previous owners,Louth,7
Audi A1 (Sport),Audi,2024-04-12,13876.0,2018,28773,Hatchback,Manual,Petrol,Grey Audi A11.0 TFSI GPF Sport Hatchback 3dr Petrol Euro 6 (s/s) (Nav) (95 ps)1 previous owner,Meath,6
Audi Q3 (TFSI),Audi,2024-04-13,12818.0,2014,72687,SUV,Manual,Petrol,Black Audi Q3SE 1.4 TFSI 150 PS 6 speed 5dr,Dublin,10
Audi A3 (TFSI),Audi,2024-04-13,6203.0,2010,88040,Hatchback,Manual,Petrol,Red Audi A31.8 TFSI S line Euro 5 3dr,Limerick,14
Audi Q3 (TFSI),Audi,2024-04-13,23340.0,2017,38342,SUV,Automatic,Petrol,Red Audi Q32.0 TFSI QUATTRO BLACK EDITION 5d 178 BHP ** FULL HISTORY ** 19inch ALLOYS **2 previous owners,Dublin,7
Audi A4 Avant (TDI),Audi,2024-04-13,21519.0,2017,37884,Estate,Automatic,Diesel,Grey Audi A4 Avant2L S line ultra TDI 5dr,Kildare,7
Audi RS5 (Nogaro Edition),Audi,2024-04-14,74211.0,2021,3173,Coupe,Automatic,Petrol,Blue Audi RS52.9 TFSI V6 Nogaro Edition Tiptronic quattro Euro 6 (s/s) 2dr1 previous owner,Kilkenny,3
Audi TT (TFSI),Audi,2024-04-14,14293.0,2012,39029,Coupe,Automatic,Petrol,Blue Audi TT2.0 TFSI Black Edition S Tronic quattro 3dr,Dublin,12
Audi A4 Avant (SE),Audi,2024-04-14,9341.0,2016,124613,Estate,Manual,Diesel,Blue Audi A4 Avant2.0 TDI ultra SE Euro 6 (s/s) 5dr1 previous owner,Limerick,8
Audi Q7 (S line Plus),Audi,2024-04-15,13129.0,2012,84450,SUV,Automatic,Diesel,Audi Q73.0 TDI V6 S line Plus Tiptronic quattro Euro 5 (s/s) 5dr3 previous owners,Cork,12
Audi TT (TDI),Audi,2024-04-15,7900.0,2010,88120,Coupe,Manual,Diesel,Black Audi TT2.0 TDI Sport Coupe 3dr Diesel Manual quattro Euro 5 (170 ps)3 previous owners,Kildare,14
Audi E-Tron (Technik),Audi,2024-04-18,44195.0,2020,13531,SUV,Automatic,Electric,Blue Audi E-Tron230kW 50 Quattro 71kWh Technik 5dr Auto,Wexford,4
Audi A3 Cabriolet (S line),Audi,2024-04-22,24656.0,2018,20736,Convertible,Automatic,Petrol,Grey Audi A3Cabriolet S line 35 TFSI 150 PS S tronic 1.5 2dr1 previous owner,Meath,6
Audi TT (Sport),Audi,2024-04-23,20078.0,2018,21574,Coupe,Manual,Petrol,Red Audi TT2.0T FSI Sport 2dr2 previous owners,Dublin,6
Audi Q5 (TFSIe),Audi,2024-04-23,47483.0,2021,21947,SUV,Automatic,Petrol Hybrid,Red Audi Q52.0 TFSIe 50 S line S Tronic quattro Euro 6 (s/s) 5dr 17.9kWh1 previous owner,Dublin,3
Audi R8 (FSI V8),Audi,2024-04-24,58989.0,2014,45655,Convertible,Automatic,Petrol,Blue Audi R84.2 FSI V8 Spyder S Tronic quattro Euro 5 2dr5 previous owners,Dublin,10
