Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Audi Q3 (Sport),Audi,04/05/2024,"€25,956.00",2019,"28,832",SUV,Automatic,Diesel,Blue Audi Q335 TDI Sport 5dr S Tronic 2.02 previous owners,Limerick
Audi Q2 (S line),Audi,04/05/2024,"€15,462.00",2017,"78,356",SUV,Manual,Petrol,Black Audi Q21.4 TFSI CoD S line Euro 6 (s/s) 5dr1 previous owner,Tipperary
Audi Q3 (S line),Audi,2024-05-04,"€14,208.00",2015,"62,638",SUV,Manual,Diesel,Red Audi Q32.0 TDI S line Euro 6 (s/s) 5dr1 previous owner,Cork
Audi A6 Saloon (Sport),Audi,06/05/2024,"€29,291.00",2019,"10,372",Saloon,Automatic,Diesel,Black Audi A640 TDI Sport 4dr S Tronic 2.0,Kildare
Audi Q3 (TDI),Audi,06/05/2024,"€16,205.00",2016,"33,564",SUV,Manual,Diesel,Red Audi Q32.0 TDI SE 5dr,Meath
Audi Q2 (CoD),Audi,07/05/2024,"€ 16,710",2018,"46,244",SUV,Manual,Petrol,Black Audi Q21.4 TFSI CoD Sport Euro 6 (s/s) 5dr,Cork
Audi A4 (TFSI),Audi,07/05/2024,"€9,738.00",2012,"105,018",Saloon,Automatic,Petrol,Silver Audi A42.0 TFSI S line S Tronic quattro Euro 5 (s/s) 4dr,Donegal
Audi Q5 (TDI),Audi,09/05/2024,"€20,481.00",2016,"44,268",SUV,Automatic,Diesel,"Blue Audi Q52.0 TDI [190] Quattro S Line Plus 5dr S Tronic [20"" Alloys, Parking System Plus, Xenon Headlights, Nappa Leather, Flat Bottom Steering Wheel]2 previous owners",Dublin
Audi Q3 (TDI),Audi,11/05/2024,"€13,485.00",2015,"103,427",SUV,Manual,Diesel,Blue Audi Q32.0 TDI S line Plus quattro Euro 6 (s/s) 5dr2 previous owners,Cork
Audi A3 Cabriolet (S line),Audi,2024-05-11,"€7,792.00",2012,"91,474",Convertible,Automatic,Diesel,Audi A3 Cabriolet2.0 TDI S line S Tronic Euro 5 (s/s) 2dr1 previous owner,Limerick
