Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
BMW 5 Series (525d),BMW,23/11/2024,"€10,312.00",2015,"90,463",Saloon,Manual,Diesel,Blue BMW 5 Series2.0 525d SE Euro 6 (s/s) 4dr1 previous owner,Dublin
BMW 5 Series (518d),BMW,24/11/2024,"€12,117.00",2013,"45,074",Saloon,Automatic,Diesel,BMW 5 Series2.0 518d SE Auto Euro 6 (s/s) 4dr2 previous owners,Louth
BMW 1 Series (Sport),BMW,2024-11-26,"€ 7,637",2013,"73,263",Hatchback,Manual,Petrol,BMW 1 SERIES114I SPORT 3DR 1.63 previous owners,Clare
BMW 1 Series (M Sport),BMW,26/11/2024,"€13,181.00",2016,"30,082",Hatchback,Manual,Petrol,Red BMW 1 Series1.5 118i M Sport Hatchback 3dr Petrol Manual Euro 6 (s/s) (136 ps)3 previous owners,Cork
BMW X1 (M Sport),BMW,2024-11-26,"€9,120.00",2011,"90,153",S.U.V.,Automatic,Diesel,Red BMW X12.0 23d M Sport Steptronic xDrive Euro 5 5dr3 previous owners,Dublin
BMW X3 (SE),BMW,27/11/2024,"€22,856.00",2017,20183,SUV,Automatic,Diesel,Black BMW X3xDrive20d SE 5dr Step Auto 2.0,Wicklow
BMW X1 (M Sport),BMW,2024-11-28,"€18,378.00",2017,"42,943",SUV,Manual,Diesel,"Red BMW X1xDrive 20d M Sport 5dr [19''Light Alloy Wheels, Park Assist, Sun Protection Glass, Cruise Control With Braking Function] 2.0",Mayo
BMW X3 (M Sport),BMW,2024-11-28,"€17,727.00",2014,"76,141",SUV,Automatic,Diesel,Navy BMW X3 SeriesX3 xDrive35d M Sport 3.0 5dr5 previous owners,Limerick
BMW 1 Series (M Sport Shadow Edition),BMW,29/11/2024,"€19,747.00",2019,"16,212",Hatchback,Manual,Petrol,Red BMW 1 Series118i M Sport Shadow Edition 5-door 1.5 5dr1 previous owner,Donegal
BMW 4 Series Gran Coupe (420d),BMW,29/11/2024,"€11,032.00",2014,"102,116",Hatchback,Manual,Diesel,BMW 4 Series Gran Coupe2.0 420d M Sport xDrive Euro 6 (s/s) 5dr2 previous owners,Waterford
BMW X4 (M Sport),BMW,29/11/2024,"€17,496.00",2016,"103,694",SUV,Auto,Diesel,Blue BMW X43.0 30d M Sport SUV 5dr Diesel Auto xDrive Euro 6 (s/s) (258 ps)1 previous owner,Dublin
BMW 5 Series (535d),BMW,30/11/2024,"€18,346.00",2015,"45,316",Saloon,Automatic,Diesel,Navy BMW 5 Series3.0 535d M Sport Auto Euro 6 (s/s) 4dr,Mayo
BMW 4 Series (M Sport),BMW,30/11/2024,"€18,106.00",2017,"42,377",Coupe,Manual,Diesel,Navy BMW 4 SeriesBMW 4 Coupe 420d 2.0 M Sport 2dr Plus Pack Pro Nav2 previous owners,Dublin
BMW 1 Series (M Sport Shadow Edition),BMW,06/12/2024,"€17,025.00",2017,"38,255",Hatchback,Manual,Diesel,Grey BMW 1 Series120d M Sport Shadow Edition 3dr Satellite Navigation 2.0,Meath
BMW 3 Series (M Sport Shadow Edition),BMW,2024-12-06,"€19,825.00",2018,"43,130",Saloon,Automatic,Petrol,Black BMW 3 Series2.0 320i M Sport Shadow Edition Saloon 4dr Petrol Auto Euro 6 (s/s) (184 ps)2 previous owners,Dublin
BMW 4 Series (435i),BMW,2024-12-07,"€17,305.00",2014,"77,606",Coupe,Automatic,Petrol,Blue BMW 4 SERIES3.0 435i M Sport Auto (s/s) 2dr,Wicklow
BMW 4 Series (M Sport),BMW,07/12/2024,"€20,101.00",2017,"45,378",Convertible,Automatic,Petrol,Silver BMW 4 Series2.0 430i M Sport Auto Euro 6 (s/s) 2dr,Wexford
BMW X4 (M Sport),BMW,10/12/2024,"€35,897.00",2019,37381,SUV,Automatic,Diesel,Grey BMW X4 SeriesX4 xDrive30d M Sport 3.0 5dr2 previous owners,Dublin
BMW X3 (30e),BMW,11/12/2024,"€46,251.00",2021,"9,681 miles",SUV,Automatic,Petrol Plug-In Hybrid,Navy BMW X3 SeriesX3 xDrive30e xLine 2.0 5dr1 previous owner,Waterford
BMW 5 Series (SE),BMW,11/12/2024,"€4,199.00",2008,"104,350",Saloon,Manual,Petrol,Black BMW 5 Series3.0 525i SE Euro 4 4dr,Dublin
BMW 1 Series (M),BMW,11/12/2024,"€50,938.00",2011,"24,448",Coupe,Manual,Petrol,Red BMW 1 Series3.0 M Euro 5 2dr,Roscommon
BMW M4 (BiTurbo),BMW,12/12/2024,"€76,413.00",2022,"10,133",Coupe,Automatic,Petrol,Black BMW M4 SeriesM4 Competition M xDrive Coupe 3.0 2dr1 previous owner,Kildare
BMW 1 Series (M Sport),BMW,12/12/2024,"€8,924.00",2012,57395,Convertible,Automatic,Diesel,Black BMW 1 Series2.0 118d M Sport Steptronic Euro 5 2dr4 previous owners,Louth
BMW 3 Series (320d),BMW,12/12/2024,"€8,112.00",2013,119246,Convertible,Automatic,Diesel,Black BMW 3 Series2.0 320d M Sport Auto Euro 5 2dr3 previous owners,Tipperary
BMW 1 Series (116d),BMW,14/12/2024,"€7,704.00",2015,"116,961",Hatchback,Manual,Diesel,Silver BMW 1 Series1.5 116d ED Plus Euro 6 (s/s) 5dr,Wicklow
BMW 3 Series (Exclusive Edition),BMW,2024-12-14,"€6,803.00",2012,"99,089",Estate,Manual,Diesel,Red BMW 3 Series2.0 318d Exclusive Edition Touring Euro 5 (s/s) 5dr,Wicklow
BMW 4 Series Gran Coupe (420d),BMW,15/12/2024,"€14,214.00",2017,"72,378",Hatchback,Automatic,Diesel,Navy BMW 4 Series Gran Coupe2.0 420d SE Auto Euro 6 (s/s) 5dr,Clare
BMW 1 Series (M Sport),BMW,15/12/2024,"€3,526.00",2008,"125,175",Coupe,Manual,Diesel,Blue BMW 1 Series2.0 120d M Sport Euro 4 2dr4 previous owners,Kilkenny
